"Sensor.ID","Latitude","Longitude","Buffer","TreeCanopy_pct","GrassShrubs_pct","BareSoil_pct","Water_pct","Buildings_pct","Roads_pct","OtherImp_pct","Railroads_pct","Building_mean","Building_median","BuildingAge_mean","BuildingAge_median","BuildingLow_pct","BuildingMedium_pct","BuildingTall_pct"
"Bx-MT_15",40.807309,-73.914454,250,9.1292,4.9011,0,0,31.2852,16.3236,38.3609,0,40.694858356,33.11,1972,1999,1.66666666666667,66.6666666666667,31.6666666666667
"Bx-MT_16",40.80582351,-73.91492731,250,13.6421,7.7766,0,0,29.4721,19.3661,29.7431,0,42.4584286713793,46.53,1934,1928,13.7931034482759,34.4827586206897,51.7241379310345
"Bx-MT_17",40.80790198,-73.91086861,250,13.9812,4.4696,0,0,33.5539,16.7682,31.2271,0,30.43496482125,32.98,1951,1931,9.375,87.5,3.125
"Bx-MT_19",40.802567,-73.907808,250,0.7323,1.1888,0,0,51.4673,25.3324,21.2792,0,34.9983333333333,34.87,1975,1989.5,33.3333333333333,33.3333333333333,33.3333333333333
"Bx-MT_20",40.80774234,-73.90899931,250,19.2099,1.7225,0,0,37.1838,15.9093,25.1413,0.8332,42.3818181818182,43.61,1918,1912,18.1818181818182,27.2727272727273,54.5454545454545
"Bx-MT_21",40.804564,-73.90993,250,2.8193,0.9433,0,0,58.6331,21.0559,14.2284,2.32,23.3519724605882,23.71353183,1941,1931,35.2941176470588,64.7058823529412,0
"Bx-MT_22",40.807946,-73.913132,250,8.4577,4.429,0,0,30.2484,18.7301,38.1348,0,49.5557142857143,57.615,1946,1920,0,32.1428571428571,67.8571428571429
"Bx-MT_23",40.807892,-73.908091,250,8.3887,2.5469,0,0,34.9458,20.8592,32.5201,0.7393,44.5605030036364,43.61,1919,1911,9.09090909090909,36.3636363636364,54.5454545454545
"Bx-MT_24",40.805108,-73.909272,250,3.6649,4.6452,0,0,47.0693,24.9061,15.7148,3.9997,29.1615687886667,23.71353183,1942,1934.5,33.3333333333333,53.3333333333333,13.3333333333333
"Bx-MT_25",40.80758846,-73.9114126,250,18.4494,4.0353,0,0,27.3714,19.1847,30.9592,0,30.2977229994444,32.665,1935,1910,8.33333333333333,86.1111111111111,5.55555555555556
"Bx-MT_27",40.806564,-73.911802,250,8.2887,1.2236,0,0,39.2209,20.2685,30.9983,0,30.6781438564286,24.26,1933,1931,32.1428571428571,46.4285714285714,21.4285714285714
"Bx-MT_30",40.80519703,-73.91465038,250,18.304,5.5932,0,0,28.0918,22.1559,25.8551,0,42.1921731428571,57.38,1932,1925,23.8095238095238,23.8095238095238,52.3809523809524
"Bx-MT_31",40.80275618,-73.91232934,250,7.9001,2.1172,0,0,46.0712,18.5245,25.387,0,29.3881550471875,22.525,1930,1931,34.375,43.75,21.875
"Bx-MT_32",40.809026,-73.913666,250,8.4661,3.7342,0,0,32.7003,16.8801,38.2193,0,38.2096610169492,34,1977,1999,0,77.9661016949153,22.0338983050847
"Bx-MT_33",40.8056854,-73.91430967,250,13.3238,1.309,0,0,33.232,20.5471,31.5881,0,44.1134708322222,36.4,1946,1931,3.7037037037037,51.8518518518518,44.4444444444444
